Package,License,Repository,LicenseFile
ignore@5.3.2,MIT,https://github.com/kaelzhang/node-ignore,C:\Users\user\dev\lifeGame_0\node_modules\ignore\LICENSE-MIT
import-fresh@3.3.1,MIT,https://github.com/sindresorhus/import-fresh,C:\Users\user\dev\lifeGame_0\node_modules\import-fresh\license
imurmurhash@0.1.4,MIT,https://github.com/jensyt/imurmurhash-js,C:\Users\user\dev\lifeGame_0\node_modules\imurmurhash\README.md
inflight@1.0.6,ISC,https://github.com/npm/inflight,C:\Users\user\dev\lifeGame_0\node_modules\inflight\LICENSE
inherits@2.0.4,ISC,https://github.com/isaacs/inherits,C:\Users\user\dev\lifeGame_0\node_modules\inherits\LICENSE
is-core-module@2.16.1,MIT,https://github.com/inspect-js/is-core-module,C:\Users\user\dev\lifeGame_0\node_modules\is-core-module\LICENSE
is-extglob@2.1.1,MIT,https://github.com/jonschlinkert/is-extglob,C:\Users\user\dev\lifeGame_0\node_modules\is-extglob\LICENSE
is-glob@4.0.3,MIT,https://github.com/micromatch/is-glob,C:\Users\user\dev\lifeGame_0\node_modules\is-glob\LICENSE
is-number@7.0.0,MIT,https://github.com/jonschlinkert/is-number,C:\Users\user\dev\lifeGame_0\node_modules\is-number\LICENSE
isexe@2.0.0,ISC,https://github.com/isaacs/isexe,C:\Users\user\dev\lifeGame_0\node_modules\isexe\LICENSE
js-yaml@4.1.0,MIT,https://github.com/nodeca/js-yaml,C:\Users\user\dev\lifeGame_0\node_modules\js-yaml\LICENSE
json-buffer@3.0.1,MIT,https://github.com/dominictarr/json-buffer,C:\Users\user\dev\lifeGame_0\node_modules\json-buffer\LICENSE
json-parse-even-better-errors@2.3.1,MIT,https://github.com/npm/json-parse-even-better-errors,C:\Users\user\dev\lifeGame_0\node_modules\json-parse-even-better-errors\LICENSE.md
json-schema-traverse@0.4.1,MIT,https://github.com/epoberezkin/json-schema-traverse,C:\Users\user\dev\lifeGame_0\node_modules\json-schema-traverse\LICENSE
json-stable-stringify-without-jsonify@1.0.1,MIT,https://github.com/samn/json-stable-stringify,C:\Users\user\dev\lifeGame_0\node_modules\json-stable-stringify-without-jsonify\LICENSE
keyv@4.5.4,MIT,https://github.com/jaredwray/keyv,C:\Users\user\dev\lifeGame_0\node_modules\keyv\README.md
levn@0.4.1,MIT,https://github.com/gkz/levn,C:\Users\user\dev\lifeGame_0\node_modules\levn\LICENSE
license-checker@25.0.1,BSD-3-Clause,https://github.com/davglass/license-checker,C:\Users\user\dev\lifeGame_0\node_modules\license-checker\LICENSE
lifegame_0@1.0.5-f,UNLICENSED,https://github.com/NobuoJt/lifeGame_0,LICENSE
locate-path@6.0.0,MIT,https://github.com/sindresorhus/locate-path,C:\Users\user\dev\lifeGame_0\node_modules\locate-path\license
lodash.merge@4.6.2,MIT,https://github.com/lodash/lodash,C:\Users\user\dev\lifeGame_0\node_modules\lodash.merge\LICENSE
loupe@3.1.3,MIT,https://github.com/chaijs/loupe,C:\Users\user\dev\lifeGame_0\node_modules\loupe\LICENSE
